run_timestamp_utc,random_state,cv_folds,model,round,MAE_rank,CV_MAE,CV_MAE_std,CV_RMSE,CV_R2,parameters
2026-07-21T08:41:11+00:00,42,5,XGBoost,1,12,0.1594981212398264,0.003127856126802909,0.2090770593832037,0.3898841326340259,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.09955289826724431, ""max_depth"": 5, ""min_child_weight"": 7, ""n_estimators"": 200, ""reg_lambda"": 1.5620693675639872, ""subsample"": 0.8}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,2,13,0.15977140449521496,0.002814140181690022,0.2091409814887018,0.38953585091443876,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.024463251027205275, ""max_depth"": 5, ""min_child_weight"": 7, ""n_estimators"": 200, ""reg_lambda"": 1.5930522616241019, ""subsample"": 1.0}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,3,7,0.1584642679819431,0.002926820038689247,0.20739242592681156,0.39969107808297855,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.020846957895078073, ""max_depth"": 4, ""min_child_weight"": 7, ""n_estimators"": 600, ""reg_lambda"": 7.535384509295546, ""subsample"": 0.8}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,4,19,0.1612031977204608,0.0033353864370734465,0.21052278857983042,0.3813456580452761,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.14766443101170287, ""max_depth"": 3, ""min_child_weight"": 7, ""n_estimators"": 300, ""reg_lambda"": 1.1207606211860568, ""subsample"": 1.0}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,5,9,0.15877109216237298,0.0033757712324214593,0.20790007716221978,0.39672761196224504,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03596444270828742, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_lambda"": 0.12397420340784142, ""subsample"": 1.0}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,6,2,0.15797746271991653,0.0033664823832246916,0.20706303005889426,0.40157578317664744,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03196827326416068, ""max_depth"": 5, ""min_child_weight"": 7, ""n_estimators"": 400, ""reg_lambda"": 9.25681899206688, ""subsample"": 0.7}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,7,24,0.16778310162754903,0.0038833606674044006,0.2197386351296057,0.3257558659083136,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.11311769174491627, ""max_depth"": 7, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_lambda"": 0.10629918194937636, ""subsample"": 0.7}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,8,14,0.16008429734475418,0.0027787795881040315,0.20953923403717348,0.38712878147845925,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.062221674590294686, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_lambda"": 0.1567993391672301, ""subsample"": 1.0}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,9,18,0.16118729825004774,0.0029338139423322044,0.21162866315082315,0.37480490434415137,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.04855012952923219, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 600, ""reg_lambda"": 0.1171593739230706, ""subsample"": 0.8}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,10,3,0.1580177454900909,0.0032810946147299085,0.2070945526826864,0.401413061209898,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03368824084567454, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 300, ""reg_lambda"": 1.0968217207529523, ""subsample"": 0.8}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,11,8,0.15868207889882094,0.0031982818635097766,0.20766263742148258,0.39812983625137205,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.02902611884153732, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 7.56829206016762, ""subsample"": 0.8}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,12,17,0.16073673207374276,0.003549766975240341,0.2112124125407433,0.3774632554289435,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.06671586274048924, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_lambda"": 0.4473636174621265, ""subsample"": 1.0}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,13,5,0.15813546018724695,0.003385620521465641,0.20726923629705704,0.40040794664839013,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03455230480658175, ""max_depth"": 7, ""min_child_weight"": 7, ""n_estimators"": 300, ""reg_lambda"": 8.521393381383609, ""subsample"": 1.0}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,14,1,0.15788886483024284,0.0032363027481120766,0.2080188690706375,0.39606688068572027,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.034877567554932806, ""max_depth"": 7, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_lambda"": 0.14096175149815865, ""subsample"": 0.9}"
